marca,modelo,año,kilometros,precio
Opel,Corsa 1.2T XHL S/S GS-Line 100,2022,22.820km,12.690€
SEAT,Ibiza 1.0 TSI S&S FR XS 110,2023,16.354km,15.990€
SEAT,Ibiza 1.0 TSI S&S FR XS 110,2023,20.181km,15.690€
SEAT,Ibiza 1.0 TSI S&S FR XS 110,2023,12.586km,16.590€
SEAT,Ibiza 1.0 TSI S&S FR XS 110,2023,17.833km,15.490€
